EAN-Code;Pharmacode;Bezeichnung ;Galenische Form | PGR;KAT ;CSL-Code*;CSL 70.01.
7640187361940;4910822;Retina/Secale comp.;Globuli velati 20 g;B;2070306;16.55
7640187362282;4927716;Retina/Secale comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361957;4248984;Rhus toxicodendron comp.;Globuli velati 20 g;D;2070306;16.55
7640187363630;4248903;Rhus toxicodendron comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187363852;1157116;Rhus toxicodendron TM;Creme 30 g;D;2070140;16.25
7640187363401;6678654;Rhus/Salix comp.;Globuli velati 20 g;D;2070306;16.55
7640187360738;4249989;Robinia comp.;Globuli velati 20 g;D;2070306;16.55
7640187360417;5905929;"Rosa e floribus comp.
";Oleum pro balneo 100 ml;D;2070513;24.8
7640187363838;1099044;Rosae aetheroleum/Silicea colloidalis comp.;Creme 100 g;D;2070499;32.8
7640187363821;1099043;Rosae aetheroleum/Silicea colloidalis comp.;Creme 30 g;D;2070482;20.25
7640187360424;5573309;"Rosmarini aetheroleum 10%
";Oleum aetheroleum 100 ml;D;2070192;19.9
7640187360929;4248719;Sambucus comp.;Globuli velati 20 g;D;2070306;16.55
7640187360783;4248731;Sarothamnus comp.;Globuli velati 20 g;D;2070358;18.35
7640187363647;4248725;Sarothamnus comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187362497;4248949;Senecio comp.;Globuli velati 20 g;B;2070306;16.55
7640187363470;4248955;Silicea colloidalis comp.;Gelatum 30 g;D;2070482;20.25
7640187360585;1966874;Silicea comp.;Globuli velati 20 g;D;2070358;18.35
7640187361223;4248978;Silicea comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187361971;4249972;Skorodit comp.;Globuli velati 20 g;B;2070306;16.55
7640187363814;1120119;Solum uliginosum comp.;Creme 30 g;D;2070482;20.25
7640187360721;1966880;Solum uliginosum comp.;Globuli velati 20 g;D;2070358;18.35
7640187360059;833556;Solum uliginosum comp.;Oleum 100 ml;D;2070513;24.8
7640187360042;2972977;Solum uliginosum comp.;Oleum 50 ml;D;2070507;13.9
7640187360066;4250107;Solum uliginosum comp.;Oleum 500 ml;D;;
7640187362732;4249995;Solum uliginosum comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187362794;4250024;Solum uliginosum comp.;Solutio ad inj. 20 x 10 ml;B;2070625;223
7640187362787;4250047;Solum uliginosum comp.;Solutio ad inj. 5 x 10 ml;B;2070625;55.75
7640187363777;1114142;Solum uliginosum comp.;Solutio pro balneo/Badezusatz 500 ml;D;;
7640187361988;4250165;Spongia comp.;Globuli velati 20 g;D;2070306;16.55
7640187361247;2636096;Spongia/Aurum/Pulsatilla comp.;Globuli velati 20 g;D;2070306;16.55
7640187363654;5695159;"Stannum/Symphytum comp.
";Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187360615;4250277;Strophanthus comp.;Globuli velati 20 g;D;2070306;16.55
7640187362299;4250260;Strophanthus comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361995;4250314;Symphytum comp.;Globuli velati 20 g;D;2070306;16.55
7640187362008;4250366;Testes comp.;Globuli velati 20 g;B;2070306;16.55
7640187360462;6482827;Thymi aetheroleum 5%;Oleum pro balneo 100 ml;B;2070192;19.9
7640187361230;4250372;Thymus/Mercurius;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187360820;4250389;Thyreoidea comp.;Globuli velati 20 g;B;2070358;18.35
7640187362015;4250432;Tormentilla comp.;Globuli velati 20 g;D;2070306;16.55
7640187363623;4250449;Tormentilla comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187362022;4250455;Triticum comp.;Globuli velati 20 g;B;2070306;16.55
7640187362442;6991724;Tropaeolum comp.;Capsulae 100 Stück;D;3794118;46.45
7640187360608;4252046;Urtica comp.;Globuli velati 20 g;D;2070306;16.55
7640187362039;4250478;Valeriana comp.;Globuli velati 20 g;D;2070358;18.35
7640187363418;4250490;Veratrum comp.;Globuli velati 20 g;D;2070306;16.55
7640187363425;5994407;"Vespa crabro comp.
";Gelatum 30 g;D;2070482;20.25
7640187362046;1966905;Viscum comp.;Globuli velati 20 g;D;2070306;16.55
